区县,经度,纬度,健康特征,家庭支持,医疗资源,养老资源,need_score,need_level
萧山区,120.30920288983052,30.15101890466102,1.6544420963208155,0.3748639975647716,181,74,1.0,4
上城区,120.20314735040431,30.27091023989218,1.658080731485652,0.40191592498054735,193,68,0.8851841129444153,4
拱墅区,120.1602583615635,30.30546903583062,1.6301585591898848,0.40532382882663054,133,60,0.6468044205387814,4
西湖区,120.09553844736843,30.238267484962407,1.6654493270968136,0.40387637508405005,82,47,0.4973791134451154,3
建德市,119.33640716304348,29.463854945652173,1.7187336544225829,0.3719064682799581,41,12,0.3922712636098444,3
余杭区,119.99779100380228,30.317937148288973,1.6481423535111928,0.4178497755703904,82,35,0.3479806075125489,2
富阳区,119.91017785128204,30.015038256410257,1.6790318074322368,0.41420447450587705,72,26,0.32394113887285225,2
临安区,119.60787731205674,30.221652992907803,1.6535852615101059,0.4195614034915721,66,23,0.23892859345836368,2
临平区,120.25804170800001,30.415122064,1.6489860445031868,0.4488193895965823,80,32,0.19748143409858793,1
淳安县,118.90534752238806,29.613327701492537,1.6381746012284604,0.4104938011150856,43,15,0.1562761997557483,1
钱塘区,120.4263055,30.300728675675675,1.6445349759067716,0.4310996929733898,59,17,0.1280080323407777,0
滨江区,120.1941948952381,30.1868522,1.598075536168134,0.42228538386629744,42,20,0.08547568386204624,0
桐庐县,119.65181246987952,29.82416839759036,1.64083075015687,0.44796037208349665,27,21,0.0,0
